timestamp,method,reason,site,parameter,regime
2025-08-18 14:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 15:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 15:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 15:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 16:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 16:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 16:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 17:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 17:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 18:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 18:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 18:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 19:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 19:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 19:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-19 11:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-19 11:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-19 11:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-19 12:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-19 12:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-19 12:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-19 13:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-19 19:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-19 19:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 13:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 13:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 14:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 14:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 14:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 15:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 15:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 15:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 16:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 16:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 16:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 17:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 17:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
